Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765075104,30,,Aggregated,9.300000,0.000000,2100,2300,2400,2500,2800,3000,4300,4500,4900,5100,5100,1049,0,2100.0,2165.7289003369488,221.9809999805875,5052.95258294791,0.0
1765075105,30,,Aggregated,9.200000,0.000000,2100,2300,2400,2500,2800,3000,4300,4500,4900,5100,5100,1061,0,2100.0,2165.399896554637,221.9809999805875,5052.95258294791,0.0
1765075106,30,,Aggregated,9.200000,0.000000,2100,2300,2400,2500,2800,3000,4300,4500,4900,5100,5100,1069,0,2100.0,2166.261258726372,221.9809999805875,5052.95258294791,0.0
1765075107,30,,Aggregated,9.800000,0.000000,2100,2300,2400,2500,2800,3000,4300,4500,4900,5100,5100,1078,0,2100.0,2165.517658273195,221.9809999805875,5052.95258294791,0.0
1765075108,30,,Aggregated,9.700000,0.000000,2100,2300,2400,2500,2800,3000,4300,4500,4900,5100,5100,1089,0,2100.0,2164.6467318580485,221.9809999805875,5052.95258294791,0.0
1765075109,30,,Aggregated,9.700000,0.000000,2100,2300,2400,2500,2800,3000,4300,4500,4900,5100,5100,1098,0,2100.0,2165.774369756265,221.9809999805875,5052.95258294791,0.0
1765075110,30,,Aggregated,9.800000,0.000000,2100,2300,2400,2500,2800,3000,4000,4500,4900,5100,5100,1106,0,2100.0,2165.7346584117877,221.9809999805875,5052.95258294791,0.0
1765075111,30,,Aggregated,9.500000,0.000000,2100,2300,2400,2500,2800,3000,4000,4500,4900,5100,5100,1118,0,2100.0,2164.0797444789073,221.9809999805875,5052.95258294791,0.0
1765075112,30,,Aggregated,9.400000,0.000000,2100,2300,2400,2500,2800,3000,4000,4500,4900,5100,5100,1128,0,2100.0,2163.4275654498765,221.9809999805875,5052.95258294791,0.0
1765075113,30,,Aggregated,9.800000,0.000000,2100,2300,2400,2500,2800,3000,4000,4500,4900,5100,5100,1136,0,2100.0,2162.766807322531,221.9809999805875,5052.95258294791,0.0
1765075114,30,,Aggregated,9.400000,0.000000,2100,2300,2400,2500,2800,3000,4000,4500,4900,5100,5100,1148,0,2100.0,2162.6190169804036,221.9809999805875,5052.95258294791,0.0
1765075115,30,,Aggregated,9.400000,0.000000,2100,2300,2400,2500,2800,3000,3900,4500,4900,5100,5100,1155,0,2100.0,2162.14042950348,221.9809999805875,5052.95258294791,0.0
